iter	Passed	Remaining
354	106319	2888590
355	106737	2891502
356	107022	2890802
357	107351	2891289
358	107629	2890418
359	107933	2890232
360	108215	2889443
361	108550	2890070
362	108844	2889627
363	109180	2890293
364	109446	2889089
365	109754	2889007
366	110039	2888303
367	110313	2887336
368	110714	2889674
369	111068	2890776
370	111366	2890425
371	111736	2891929
372	112076	2892663
373	112341	2891449
374	112674	2891978
375	112998	2892277
376	113286	2891667
377	113675	2893604
378	114029	2894655
379	114334	2894465
380	114695	2895679
381	115012	2895790
382	115394	2897528
383	115779	2899308
384	116113	2899825
385	116403	2899233
386	116763	2900372
387	117082	2900512
388	117380	2900114
389	117706	2900405
390	117956	2898842
391	118310	2899805
392	118656	2900601
393	118913	2899195
394	119227	2899198
395	119516	2898571
396	119844	2898909
397	120208	2900105
398	120508	2899744
399	120795	2899096
400	121148	2899999
401	121487	2900582
402	121824	2901110
403	122125	2900781
404	122364	2898992
405	122673	2898844
406	122994	2898975
407	123348	2899901
408	123577	2897886
409	123961	2899490
410	124251	2898903
411	124513	2897654
412	124801	2897030
413	125147	2897741
414	125476	2898058
415	125746	2897017
416	126075	2897327
417	126432	2898272
418	126799	2899448
419	127090	2898870
420	127390	2898506
421	127732	2899099
422	128004	2898117
423	128276	2897104
424	128634	2898068
425	128998	2899130
426	129333	2899558
427	129711	2900941
428	130029	2900957
429	130398	2902120
430	130619	2899993
431	131007	2901576
432	131397	2903188
433	131702	2902924
434	132070	2904026
435	132379	2903843
436	132696	2903831
437	133049	2904616
438	133404	2905425
439	133829	2907742
440	134186	2908594
441	134532	2909185
442	134837	2908905
443	135203	2909921
444	135520	2909893
445	135847	2910050
446	136177	2910305
447	136526	2910932
448	136882	2911735
449	137157	2910791
450	137469	2910637
451	137861	2912161
452	138216	2912929
453	138548	2913173
454	138855	2912922
455	139164	2912680
456	139504	2913119
457	139897	2914640
458	140266	2915645
459	140549	2914867
460	140925	2916022
461	141231	2915729
462	141534	2915356
463	141832	2914907
464	142296	2917837
465	142647	2918447
466	142978	2918653
467	143217	2916977
468	143579	2917808
469	143987	2919569
470	144294	2919276
471	144678	2920534
472	144998	2920503
473	145260	2919306
474	145594	2919545
475	145944	2920110
476	146271	2920223
477	146563	2919613
478	146924	2920393
479	147184	2919157
480	147449	2918030
481	147847	2919526
482	148201	2920156
483	148513	2919946
484	148817	2919579
485	149165	2920083
486	149545	2921205
487	149864	2921137
488	150219	2921748
489	150612	2923111
490	151018	2924720
491	151391	2925678
492	151861	2928489
493	152307	2930834
494	152661	2931414
495	152898	2929730
496	153187	2929055
497	153503	2928886
498	153875	2929796
499	154288	2931489
500	154658	2932342
501	155033	2933291
502	155331	2932774
503	155626	2932203
504	155971	2932578
505	156336	2933311
506	156664	2933366
507	156968	2932964
508	157269	2932496
509	157595	2932514
510	157902	2932167
511	158244	2932465
512	158596	2932946
513	158908	2932691
514	159292	2933756
515	159896	2938881
516	160279	2939905
517	160594	2939692
518	160931	2939870
519	161262	2939942
520	161569	2939566
521	161882	2939316
522	162189	2938955
523	162467	2938059
524	162835	2938792
525	163136	2938317
526	163601	2940794
527	163936	2940912
528	164265	2940939
529	164651	2941988
530	164907	2940689
531	165273	2941372
532	165582	2941038
533	165807	2939200
534	166146	2939398
535	166462	2939175
536	166880	2940766
537	167189	2940429
538	167569	2941334
539	167796	2939546
540	168168	2940307
541	168515	2940621
542	168823	2940273
543	169120	2939718
544	169493	2940471
545	169786	2939849
546	170166	2940733
547	170572	2942060
548	170913	2942266
549	171267	2942681
550	171679	2944098
551	172058	2944950
552	172355	2944387
553	172687	2944408
554	173012	2944329
555	173409	2945465
556	173683	2944513
557	173986	2944043
558	174344	2944521
559	174711	2945141
560	175043	2945157
561	175364	2944993
562	175691	2944941
563	176031	2945101
564	176366	2945156
565	176581	2943232
566	176939	2943681
567	177217	2942801
568	177513	2942229
569	177821	2941856
570	178318	2944604
571	178592	2943646
572	178923	2943647
573	179336	2944993
574	179721	2945868
575	180047	2945780
576	180344	2945217
577	180697	2945556
578	180994	2944984
579	181435	2946758
580	181843	2947985
581	182126	2947195
582	182409	2946403
583	182766	2946788
584	183224	2948811
585	183724	2951501
586	184082	2951911
587	184356	2950954
588	184805	2952809
589	185136	2952769
590	185529	2953715
591	185830	2953191
592	186237	2954357
593	186514	2953455
594	186766	2952163
595	187037	2951172
596	187384	2951388
597	187858	2953586
598	188302	2955314
599	188709	2956449
600	189067	2956811
601	189590	2959757
602	189895	2959276
603	190229	2959269
604	190630	2960283
605	191017	2961093
606	191416	2962066
607	191774	2962415
608	192046	2961428
609	192396	2961649
610	192814	2962903
611	193256	2964522
612	193666	2965654
613	193982	2965344
614	194298	2965030
615	194656	2965355
616	195166	2967992
617	195574	2969062
618	195931	2969366
619	196287	2969636
620	196610	2969417
621	197064	2971169
622	197404	2971214
623	197731	2971049
624	198035	2970532
625	198346	2970128
626	198670	2969922
627	198998	2969768
628	199291	2969094
629	199616	2968904
630	200012	2969754
631	200383	2970246
632	200775	2971036
633	201070	2970391
634	201443	2970902
635	201741	2970297
636	202065	2970078
637	202537	2972033
638	202843	2971551
639	203196	2971753
640	203590	2972555
641	203964	2973054
642	204318	2973267
643	204639	2972987
644	204962	2972755
645	205279	2972414
646	205628	2972554
647	206087	2974277
648	206431	2974326
649	206939	2976748
650	207218	2975864
651	207582	2976199
652	207965	2976805
653	208289	2976569
654	208694	2977486
655	209079	2978108
656	209422	2978140
657	209807	2978761
658	210171	2979083
659	210422	2977793
660	210763	2977786
661	211025	2976667
662	211297	2975697
663	211694	2976479
664	212036	2976478
665	212388	2976621
666	212717	2976451
667	213056	2976411
668	213436	2976938
669	213704	2975919
670	214117	2976909
671	214571	2978462
672	214854	2977640
673	215173	2977305
674	215504	2977159
675	215891	2977767
676	216178	2977007
677	216434	2975816
678	216895	2977448
679	217285	2978096
680	217602	2977735
681	217939	2977655
