iter	MultiClass
0	2.219072669
1	2.101211617
2	2.012285359
3	1.943705878
4	1.888272599
5	1.841446373
6	1.803613459
7	1.771566208
8	1.74448205
9	1.720008487
10	1.699379864
11	1.680623073
12	1.665414264
13	1.652295934
14	1.640276816
15	1.62910598
16	1.619650057
17	1.610626617
18	1.6025598
19	1.596282086
20	1.589785826
21	1.584315569
22	1.579034321
23	1.574919608
24	1.570320498
25	1.566616382
26	1.563379586
27	1.560361829
28	1.557347211
29	1.554828177
30	1.552490889
31	1.550406692
32	1.548532603
33	1.54597716
34	1.543850176
35	1.542131239
36	1.540382567
37	1.538813776
38	1.537040079
39	1.535760788
40	1.534516236
41	1.532920851
42	1.531929783
43	1.530357754
44	1.528343724
45	1.527044511
46	1.526189753
47	1.525307517
48	1.524455997
49	1.523667087
50	1.522641181
51	1.522031074
52	1.521391527
53	1.520512431
54	1.519751883
55	1.518962777
56	1.518033534
57	1.517349139
58	1.516769552
59	1.515862684
60	1.515219309
61	1.513936877
62	1.513253954
63	1.51267525
64	1.511606655
65	1.511018923
66	1.510413232
67	1.509416178
68	1.508455433
69	1.507507937
70	1.506772806
71	1.505937282
72	1.505365644
73	1.504626882
74	1.503745921
75	1.502883705
76	1.502434147
77	1.501917858
78	1.501503825
79	1.500756132
80	1.500143081
81	1.499602356
82	1.499015507
83	1.498292741
84	1.497869189
85	1.497313743
86	1.49672503
87	1.496225521
88	1.495609624
89	1.495139654
90	1.494535435
91	1.493741816
92	1.493188725
93	1.492794123
94	1.492440346
95	1.491778619
96	1.491317384
97	1.490985883
98	1.49059972
99	1.48999452
100	1.48934722
101	1.488471068
102	1.487826025
103	1.48717794
104	1.486630836
105	1.486064889
106	1.485489719
107	1.484932114
108	1.484508758
109	1.483939181
110	1.483436827
111	1.483074708
112	1.48271985
113	1.482338791
114	1.48198943
115	1.481342031
116	1.480864309
117	1.480444682
118	1.479877559
119	1.479466961
120	1.478972555
121	1.478598856
122	1.478201703
123	1.477840859
124	1.47746824
125	1.477028103
126	1.476358035
127	1.475817997
128	1.475210539
129	1.47487315
130	1.474319569
131	1.473947342
132	1.473771582
133	1.473360984
134	1.473136156
135	1.472800043
136	1.472355294
137	1.4718971
138	1.471355197
139	1.470907504
140	1.470372078
141	1.469917613
142	1.469627329
143	1.469184837
144	1.46857267
145	1.46818111
146	1.467873456
147	1.467134006
148	1.466811141
149	1.466471888
150	1.465947845
151	1.46556659
152	1.464982391
153	1.464774344
154	1.464409771
155	1.463966887
156	1.463432737
157	1.463071206
158	1.462716251
159	1.462348145
160	1.461725183
161	1.461359923
162	1.460797314
163	1.460416353
164	1.460158944
165	1.4596613
166	1.459387404
167	1.4590666
168	1.458675727
169	1.458419005
170	1.458181616
171	1.457780439
172	1.457196731
173	1.456782305
174	1.456527644
175	1.456192807
176	1.45573687
177	1.455383387
178	1.455049629
179	1.454527647
180	1.454256107
181	1.454003409
182	1.453682605
183	1.453338739
184	1.453176815
185	1.452949534
186	1.452453068
187	1.452079859
188	1.451851499
189	1.451628633
190	1.45143619
191	1.45126465
192	1.450862786
193	1.450408321
194	1.450178292
195	1.449866909
196	1.449662886
197	1.44939213
198	1.449005085
199	1.448721867
200	1.448346303
201	1.448043163
202	1.447646108
203	1.44741392
204	1.44700921
205	1.44680656
206	1.446599004
207	1.446478985
208	1.446181341
209	1.44569881
210	1.445348859
211	1.445070744
212	1.444855141
213	1.444580264
214	1.444090765
215	1.443771138
216	1.443299206
217	1.442755242
218	1.442396754
219	1.442023644
220	1.441691456
221	1.441223056
222	1.440848474
223	1.44042924
224	1.44020716
225	1.439861135
226	1.439652499
227	1.439291852
228	1.439132284
229	1.438688614
230	1.438382334
231	1.438117369
232	1.43767684
233	1.43742159
234	1.436886851
235	1.436624928
236	1.436209227
237	1.435925812
238	1.435547795
239	1.435243183
240	1.434961927
241	1.434712075
242	1.434356138
243	1.434234745
244	1.433988426
245	1.43356978
246	1.433262813
247	1.433014924
248	1.432764581
249	1.432413943
250	1.432230332
251	1.43198676
252	1.431635142
253	1.431032493
254	1.430698735
255	1.430424741
256	1.430116498
257	1.429798442
258	1.429602662
259	1.42931699
260	1.428973222
261	1.428719935
262	1.42851022
263	1.42828814
264	1.42792239
265	1.427643882
266	1.427452616
267	1.427056739
268	1.426613069
269	1.426311794
270	1.425981372
271	1.425762334
272	1.425448596
273	1.425333189
274	1.424973916
275	1.424755565
276	1.424545653
277	1.424263318
278	1.423874604
279	1.423613761
280	1.423358707
281	1.423121711
282	1.422846932
283	1.422522398
284	1.422261162
285	1.422000417
286	1.421768327
287	1.421398553
288	1.421260281
289	1.420875198
290	1.4206014
291	1.420467838
292	1.420162049
