iter	Passed	Remaining
411	3836	3612
412	3844	3602
413	3852	3592
414	3861	3582
415	3872	3574
416	3880	3563
417	3888	3553
418	3896	3543
419	3904	3532
420	3912	3522
421	3920	3512
422	3928	3501
423	3936	3491
424	3944	3480
425	3952	3470
426	3960	3460
427	3971	3452
428	3980	3442
429	3989	3432
430	3997	3422
431	4006	3412
432	4014	3402
433	4022	3392
434	4030	3382
435	4038	3371
436	4047	3361
437	4055	3351
438	4063	3341
439	4073	3332
440	4081	3322
441	4090	3313
442	4099	3303
443	4107	3293
444	4115	3283
445	4123	3273
446	4131	3262
447	4139	3252
448	4147	3242
449	4155	3232
450	4163	3222
451	4172	3212
452	4183	3204
453	4191	3194
454	4200	3185
455	4208	3174
456	4216	3164
457	4224	3154
458	4233	3144
459	4241	3134
460	4249	3124
461	4257	3114
462	4265	3104
463	4275	3096
464	4284	3086
465	4293	3077
466	4301	3067
467	4309	3057
468	4317	3047
469	4325	3037
470	4334	3027
471	4342	3017
472	4350	3007
473	4358	2997
474	4366	2987
475	4376	2979
476	4385	2969
477	4394	2960
478	4402	2950
479	4410	2940
480	4418	2930
481	4426	2920
482	4435	2910
483	4443	2900
484	4451	2891
485	4459	2881
486	4467	2871
487	4477	2862
488	4486	2853
489	4495	2843
490	4503	2833
491	4511	2824
492	4519	2814
493	4527	2804
494	4535	2794
495	4543	2784
496	4551	2774
497	4559	2764
498	4567	2754
499	4576	2746
500	4585	2736
501	4594	2727
502	4602	2717
503	4610	2707
504	4618	2697
505	4626	2688
506	4634	2678
507	4642	2668
508	4650	2658
509	4658	2648
510	4666	2639
511	4676	2630
512	4685	2621
513	4693	2611
514	4701	2602
515	4709	2592
516	4717	2582
517	4726	2572
518	4734	2563
519	4741	2553
520	4749	2543
521	4757	2533
522	4766	2524
523	4775	2515
524	4784	2506
525	4792	2496
526	4800	2486
527	4808	2477
528	4816	2467
529	4824	2457
530	4832	2448
531	4840	2438
532	4848	2429
533	4856	2419
534	4864	2409
535	4874	2401
536	4883	2391
537	4892	2382
538	4900	2372
539	4908	2363
540	4916	2353
541	4924	2344
542	4932	2334
543	4940	2324
544	4948	2315
545	4956	2305
546	4964	2296
547	4974	2287
548	4983	2278
549	4991	2268
550	5000	2259
551	5008	2250
552	5016	2240
553	5024	2231
554	5032	2221
555	5040	2212
556	5048	2202
557	5056	2193
558	5064	2183
559	5074	2174
560	5084	2166
561	5092	2156
562	5100	2147
563	5108	2137
564	5116	2128
565	5124	2118
566	5132	2109
567	5140	2099
568	5148	2090
569	5156	2080
570	5164	2071
571	5172	2061
572	5184	2053
573	5193	2044
574	5201	2035
575	5210	2026
576	5218	2016
577	5227	2007
578	5235	1998
579	5243	1989
580	5252	1979
581	5260	1970
582	5269	1961
583	5280	1952
584	5289	1943
585	5297	1934
586	5305	1925
587	5314	1916
588	5322	1906
589	5331	1897
590	5339	1888
591	5348	1879
592	5356	1869
593	5365	1860
594	5375	1852
595	5384	1843
