iter	RMSE
228	1.284113117
229	1.28411325
230	1.284113184
231	1.284113117
232	1.284112984
233	1.284112917
234	1.284112784
235	1.283998251
236	1.283998184
237	1.283997184
238	1.283996517
239	1.283996451
240	1.283996451
241	1.283996384
242	1.283996384
243	1.283996451
244	1.283996384
245	1.283996384
246	1.283996384
247	1.283995584
248	1.283995051
249	1.283995051
250	1.283885575
251	1.283873773
252	1.283847836
253	1.27742503
254	1.276229372
255	1.275791564
256	1.275765798
257	1.275756337
258	1.275752915
259	1.275610856
260	1.275149877
261	1.275149608
262	1.275149407
263	1.271470975
264	1.27035334
265	1.270351117
266	1.269244905
267	1.269244905
268	1.268902107
269	1.268865677
270	1.268852319
271	1.268847327
272	1.268845707
273	1.268600784
274	1.268511237
275	1.268478507
276	1.268353924
277	1.268301886
278	1.268217988
279	1.268162638
280	1.268162705
281	1.268098104
282	1.268046259
283	1.268046259
284	1.267993602
285	1.267974361
286	1.267905835
287	1.267876465
288	1.267829675
289	1.26782981
290	1.267798616
291	1.267762559
292	1.267762626
293	1.267733659
294	1.267723125
295	1.267680381
296	1.267680313
297	1.267663228
298	1.267656678
299	1.267654382
300	1.267653707
301	1.26760468
302	1.267604545
303	1.267586581
304	1.267579896
305	1.267577464
306	1.267544846
307	1.267536606
308	1.267517156
309	1.267510065
310	1.26749318
311	1.26749318
312	1.267484265
313	1.267481091
314	1.26747974
315	1.26747947
316	1.267479268
317	1.267478998
318	1.267455156
319	1.267452049
320	1.267452049
321	1.267450834
322	1.267435435
323	1.26743145
324	1.26743145
325	1.267431517
326	1.26743145
327	1.26743145
328	1.267429964
329	1.267118022
330	1.267092755
331	1.267083432
332	1.266929455
333	1.266181261
334	1.266169227
335	1.266052936
336	1.266045836
337	1.266010676
338	1.265997694
339	1.265992893
340	1.26598816
341	1.265986334
342	1.265985725
343	1.26598248
344	1.265982277
345	1.265980045
346	1.265979978
347	1.26597991
348	1.265979978
349	1.265978355
350	1.265977205
351	1.265976394
352	1.265976394
353	1.265976394
354	1.265975853
355	1.265975853
356	1.265975447
357	1.265975447
358	1.265975177
359	1.265974974
360	1.265974906
361	1.265831141
362	1.264952643
363	1.264844091
364	1.264803821
365	1.264788864
366	1.257669946
367	1.257306562
368	1.257024524
369	1.256921144
370	1.256883277
371	1.256869451
372	1.256861074
373	1.256858213
374	1.256857123
375	1.256839892
376	1.256835737
377	1.256825588
378	1.256821842
379	1.25681326
380	1.256810127
381	1.256809174
382	1.256799502
383	1.256796641
384	1.256795483
385	1.256787582
386	1.256784653
387	1.256780158
388	1.256778659
389	1.256777978
390	1.256777774
391	1.256777569
392	1.256770349
393	1.25676926
394	1.256765377
395	1.25676381
396	1.256763402
397	1.256759587
398	1.256647739
399	1.256066674
400	1.255725868
401	1.255497136
402	1.255378765
403	1.254740351
404	1.254642924
405	1.25446067
406	1.254385742
407	1.252792479
408	1.252642418
409	1.247884905
410	1.247717513
411	1.246910354
412	1.246898134
413	1.246893602
414	1.246869574
415	1.246869299
416	1.24686106
417	1.24686106
418	1.246860923
419	1.246860923
420	1.246857902
421	1.245832046
422	1.245657093
423	1.24558892
424	1.245562392
425	1.243758042
426	1.243527108
427	1.24260687
428	1.242597501
429	1.242308127
430	1.241248373
431	1.240771799
432	1.24075531
433	1.238209966
434	1.23716566
435	1.237154174
436	1.236656571
437	1.236652971
438	1.236073172
439	1.23598577
440	1.230427973
441	1.229817884
442	1.229684511
443	1.229564421
444	1.229293705
445	1.229201085
446	1.229164941
447	1.228264609
448	1.228153232
449	1.228098934
450	1.228078859
451	1.22807147
452	1.228061433
453	1.227640475
454	1.227413204
455	1.227103088
456	1.227078951
457	1.227043163
458	1.226855553
459	1.226780613
460	1.22676882
461	1.226739582
462	1.226727859
463	1.226723254
464	1.226721439
465	1.226720672
466	1.226716834
467	1.226716624
468	1.226715089
469	1.226714461
470	1.226714321
471	1.226714321
472	1.226714391
473	1.226714112
474	1.226714042
475	1.226713973
476	1.226713903
477	1.226713903
478	1.226713903
479	1.226713833
480	1.226713833
481	1.226713833
482	1.226713833
483	1.226713903
484	1.226713903
485	1.226713903
486	1.226713903
487	1.226713903
488	1.226713833
489	1.226713833
490	1.226713903
491	1.226713903
492	1.226713903
493	1.226713903
494	1.226713903
495	1.226713903
496	1.226713903
497	1.226713903
498	1.226713903
499	1.226713903
500	1.226713903
501	1.226713903
502	1.226713903
503	1.226713903
504	1.226713903
505	1.226713903
506	1.226713903
507	1.226713903
508	1.226713903
509	1.226713903
510	1.226713903
511	1.226713903
512	1.226713903
513	1.226713903
514	1.226713903
515	1.226713903
516	1.226713903
517	1.226713903
518	1.226713903
519	1.226713903
520	1.226713903
521	1.226713903
522	1.226713903
523	1.226713903
524	1.226713903
525	1.226713903
526	1.226713903
527	1.226713903
528	1.226713903
529	1.226713903
530	1.226713903
531	1.226713903
532	1.226713903
533	1.226713903
534	1.226713903
535	1.226713903
536	1.226713903
537	1.226713903
538	1.226713903
539	1.226713903
540	1.226713903
541	1.226713903
542	1.226713903
543	1.226713903
544	1.226713903
545	1.226713903
546	1.226713903
547	1.226713903
548	1.226713903
549	1.226713903
550	1.226713903
551	1.226713903
552	1.226713903
553	1.226713903
554	1.226713903
555	1.226713903
556	1.226713903
557	1.226713484
558	1.226713484
559	1.226713205
560	1.226713065
561	1.226712996
562	1.226712926
563	1.226712786
564	1.226712786
565	1.226712786
566	1.226712786
567	1.226712786
568	1.226712926
569	1.226712926
570	1.226712926
571	1.22635084
572	1.226209829
573	1.226154817
574	1.226133523
575	1.226125075
576	1.225383893
577	1.225294052
578	1.225259119
579	1.225245495
580	1.224872213
581	1.224872143
582	1.224872073
583	1.224872003
584	1.224872003
585	1.224871934
586	1.221742004
587	1.221169286
588	1.22116536
589	1.220865857
590	1.220860949
591	1.220858986
592	1.220764184
593	1.220763342
594	1.220763202
595	1.220763062
596	1.22076208
597	1.2207618
598	1.220761659
599	1.220746232
600	1.220743918
601	1.220735433
602	1.220731787
603	1.220730454
604	1.220729963
605	1.220720987
606	1.220718884
607	1.220713624
608	1.220710889
609	1.220707173
610	1.220707102
611	1.22070584
612	1.220705279
613	1.22070023
614	1.220698828
615	1.220698757
616	1.220698687
617	1.220698196
618	1.220694199
619	1.220692937
620	1.220690412
621	1.22068901
622	1.220688519
623	1.220688238
624	1.220688168
625	1.220688028
626	1.220688028
627	1.220688028
628	1.220684171
629	1.22068375
630	1.220681787
631	1.220681015
632	1.220679613
633	1.220678771
634	1.220677719
635	1.220677789
636	1.220677228
637	1.220677088
638	1.220677088
639	1.220675405
640	1.220674704
641	1.220674003
642	1.220673442
643	1.220672951
644	1.220673021
645	1.220326469
646	1.220306617
647	1.220273787
648	1.219605838
649	1.219168199
650	1.218916033
651	1.21873244
652	1.217462267
653	1.217360731
654	1.217189563
655	1.213620426
656	1.213504531
657	1.213414374
658	1.21338164
659	1.213363297
660	1.213355889
661	1.213346647
662	1.213344319
663	1.213341144
664	1.212361067
665	1.211944262
666	1.211944262
667	1.211940378
668	1.211238291
669	1.211238221
670	1.211238221
671	1.211004761
672	1.210565427
673	1.210524837
674	1.210524837
675	1.210524767
676	1.210524767
677	1.210524696
678	1.210524696
679	1.210438419
680	1.210407585
681	1.21039634
682	1.210377456
683	1.210363877
684	1.210358926
685	1.210357088
686	1.21032809
687	1.21032809
688	1.21032809
689	1.210236141
690	1.210188041
691	1.210174814
692	1.210169792
693	1.210168094
694	1.210042459
695	1.210016425
696	1.210006945
697	1.209908887
698	1.209873086
699	1.209832614
700	1.209816906
701	1.209810892
702	1.209707935
703	1.209670288
704	1.209657125
705	1.209651889
706	1.209636603
707	1.209631083
708	1.209628889
709	1.209628182
710	1.20951063
711	1.209467739
712	1.209338138
713	1.209327308
714	1.209098931
715	1.208966954
716	1.208846081
717	1.208801963
718	1.208785817
719	1.208741342
720	1.208725054
721	1.208692121
722	1.208680223
723	1.208678027
724	1.208677177
725	1.208676753
726	1.208665987
727	1.208630149
728	1.208615488
729	1.208598985
730	1.20859771
731	1.208578587
732	1.208571504
733	1.208568104
734	1.208566758
735	1.20754644
736	1.207494405
737	1.207347009
738	1.207293335
739	1.207244197
740	1.207215975
741	1.207208671
742	1.207206119
743	1.207174563
744	1.207162295
745	1.207157757
746	1.207151658
747	1.207149105
748	1.207146056
749	1.20714485
750	1.207143149
751	1.207142581
752	1.207142439
753	1.207142298
754	1.207142298
755	1.207141163
756	1.207141092
757	1.207140596
758	1.207140454
759	1.20714017
760	1.20714017
761	1.207140099
762	1.207140028
763	1.207139957
764	1.207139887
765	1.207139887
766	1.207139887
767	1.207139816
768	1.207139887
769	1.207139816
770	1.207077835
771	1.197753933
772	1.196966219
773	1.19667747
774	1.196662985
775	1.196654937
776	1.196653256
777	1.196327116
778	1.196317957
779	1.19628336
780	1.195447846
781	1.195444302
782	1.19490988
783	1.194445885
784	1.194441047
785	1.194293259
786	1.194164126
787	1.194117099
788	1.19409993
789	1.194093622
790	1.19409122
791	1.194091328
792	1.194090431
793	1.194090324
794	1.193631712
795	1.193631676
796	1.193586028
797	1.193569389
798	1.193310091
799	1.191944209
